id,title,company,location,url,date,tags,status
1,"GenAI Sales Specialist, AWS Specialists Team",Amazon Web Services (AWS),"Courbevoie, Île-de-France, France",https://fr.linkedin.com/jobs/view/genai-sales-specialist-aws-specialists-team-at-amazon-web-services-aws-4446832565,2 weeks ago,"Generative AI, Sales Specialist",À postuler
2,"GenAI Sales Specialist, AWS Specialist Team France",Amazon Web Services (AWS),"Courbevoie, Île-de-France, France",https://fr.linkedin.com/jobs/view/genai-sales-specialist-aws-specialist-team-france-at-amazon-web-services-aws-4446162470,3 weeks ago,"Generative AI, Sales Specialist",À postuler
3,Senior Enterprise Account Executive – Robotics & Physical AI,XXII,"Puteaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-enterprise-account-executive-%E2%80%93-robotics-physical-ai-at-xxii-4435038970,1 month ago,"Senior / Lead, AI / IA, Account Executive",À postuler
4,Account Executive IA,Craft AI,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-ia-at-craft-ai-4448755686,3 weeks ago,"AI / IA, Account Executive",À postuler
5,Microsoft Solution Sales Specialist - Data & AI,SoftwareOne,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/microsoft-solution-sales-specialist-data-ai-at-softwareone-4449764789,1 week ago,"AI / IA, Data, Sales Specialist",À postuler
6,Sales Specialist AI Business Solutions Microsoft H/F,Inetum,"St.-Ouen, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-ai-business-solutions-microsoft-h-f-at-inetum-4400591201,1 day ago,"AI / IA, Sales Specialist",À postuler
7,Senior AI Sales Representative,Atos,"Bezons, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-ai-sales-representative-at-atos-4446655814,1 week ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
8,Consultative AI Sales Professional,DXC Technology,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/consultative-ai-sales-professional-at-dxc-technology-4371314015,2 weeks ago,"AI / IA, Tech Sales",À postuler
9,Data & AI Technology Sales Specialist,"NTT DATA, Inc.","Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-ai-technology-sales-specialist-at-ntt-data-inc-4426777859,3 days ago,"AI / IA, Data, Sales Specialist",À postuler
10,Account Executive - France,Neural Concept,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-france-at-neural-concept-4385457517,4 days ago,Account Executive,À postuler
11,Senior Account Executive | Enterprise & AI Solutions (F/H),ILLUIN Technology,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-account-executive-enterprise-ai-solutions-f-h-at-illuin-technology-4413985792,3 months ago,"Senior / Lead, AI / IA, Account Executive",À postuler
12,Account Manager Specialist AI Solutions (H/F),SCC France,"Nanterre, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-manager-specialist-ai-solutions-h-f-at-scc-france-4446728676,2 weeks ago,"AI / IA, Sales Specialist",À postuler
13,Account Executive [Opening soon],Botify,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-opening-soon-at-botify-4415215809,2 months ago,Account Executive,À postuler
14,Enterprise Account Executive - France,Arango,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/enterprise-account-executive-france-at-arango-4419475881,2 months ago,Account Executive,À postuler
15,"Account Executive, SEMEA",Botify,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-semea-at-botify-4418754763,2 weeks ago,Account Executive,À postuler
16,Business Development Representative (EMEA),Qdrant,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-development-representative-emea-at-qdrant-4448483858,1 week ago,Tech Sales,À postuler
17,Founding Account Executive - DACH,DeepIP,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/founding-account-executive-dach-at-deepip-4435975133,1 month ago,Account Executive,À postuler
18,Senior Client Growth Partner – AI Transformation,Nagarro,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-client-growth-partner-%E2%80%93-ai-transformation-at-nagarro-4451015510,1 week ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
19,Lakebase Sales Associate Director,Databricks,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/lakebase-sales-associate-director-at-databricks-4419283665,1 week ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
20,Account Executive Mid-Market / Enterprise,Doctrine,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-mid-market-enterprise-at-doctrine-4436387379,1 month ago,Account Executive,À postuler
21,100k+ OTE Account Executive in B2B SaaS,DialedIn Recruiting,Greater Paris Metropolitan Region,https://fr.linkedin.com/jobs/view/100k%2B-ote-account-executive-in-b2b-saas-at-dialedin-recruiting-4452264445,16 hours ago,Account Executive,À postuler
22,Account Executive,Parallel,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-at-parallel-4434251234,1 month ago,Account Executive,À postuler
